,0,1
0,113.828796,22.634501
1,113.832703,22.6276
2,113.835197,22.619101
3,113.837601,22.613701
4,113.840698,22.606199
5,113.843697,22.760099
6,113.845398,22.625601
7,113.851601,22.6042
8,113.854401,22.581301
9,113.856598,22.5795
10,113.861298,22.5826
11,113.862396,22.601101
12,113.863098,22.580799
13,113.864304,22.569901
14,113.864799,22.599001
15,113.866096,22.583
16,113.870003,22.597
17,113.873299,22.597
18,113.875397,22.5863
19,113.875702,22.586
20,113.876999,22.594101
21,113.878403,22.582001
22,113.879898,22.5797
23,113.880203,22.5788
24,113.881203,22.579599
25,113.8853,22.580601
26,113.8862,22.581301
27,113.888298,22.5928
28,113.888901,22.5599
29,113.891998,22.593
30,113.892403,22.5611
31,113.892998,22.577999
32,113.894096,22.577299
33,113.894897,22.5746
34,113.894997,22.5746
35,113.895798,22.5823
36,113.8965,22.582701
37,113.896797,22.581301
38,113.897202,22.580999
39,113.897301,22.580999
40,113.897598,22.581301
41,113.898499,22.5797
42,113.899498,22.5839
43,113.899902,22.5662
44,113.900299,22.577801
45,113.902,22.569201
46,113.902496,22.5749
47,113.902901,22.5751
48,113.906601,22.564301
49,113.908203,22.5511
50,113.910202,22.547701
51,113.913101,22.544001
52,113.918701,22.5431
53,113.921402,22.676901
54,113.924004,22.5846
55,113.924896,22.5882
56,113.925697,22.6777
57,114.026299,22.672701
58,114.067497,22.723801
59,114.104698,22.7684
60,113.916023,22.535469
61,113.917671,22.523392
62,113.92392,22.535362
63,113.935669,22.542406
64,114.007149,22.548979
65,114.02076,22.540651
66,114.038704,22.632931
67,114.059341,22.527739
68,114.077621,22.551502
69,114.099174,22.576712
70,114.102028,22.624847
71,114.112755,22.535679
72,114.120972,22.543167
73,114.130432,22.57811
74,114.13855,22.611198
75,113.796204,22.690901
76,113.812103,22.6231
77,113.831703,22.6772
78,113.851196,22.6192
79,113.874298,22.597099
80,113.875603,22.586201
81,113.876602,22.6707
82,113.8787,22.5923
83,113.93,22.6838
84,113.932602,22.7726
85,114.026955,22.613035
86,114.081734,22.542713
87,114.09304,22.543318
88,114.099091,22.577951
89,114.102753,22.552748
90,114.106796,22.574669
91,114.107826,22.567972
92,114.11306,22.584946
93,114.115852,22.609737
94,114.12233,22.579275
95,114.126228,22.542107
96,114.138123,22.580097
97,113.943718,22.524332
98,113.977921,22.536217
99,114.014984,22.537832
100,114.020798,22.560249
101,114.040482,22.513567
102,114.044418,22.534634
103,114.046547,22.520666
104,114.052933,22.511232
105,114.056168,22.551434
